Title,Authors,Abstract,Published Year,Journal,DOI,Covidence #,perg_abstract_result,perg_fulltext_result
Bridging the gap: Using reservoir ecology and human serosurveys to estimate Lassa virus spillover in West Africa,Andrew J. Basinski; Élisabeth Fichet-Calvet; Anna R. Sjodin; Tanner J. Varrelman; Christopher H. Remien; Nathan C. Layman; Brian H. Bird; David J. Wolking; Corina Monagin; Bruno M. Ghersi; Peter A. Barry; Michael A. Jarvis; Paul E. Gessler; Scott L. Nuismer,"Forecasting the risk of pathogen spillover from reservoir populations of wild or domestic animals is essential for the effective deployment of interventions such as wildlife vaccination or culling. Due to the sporadic nature of spillover events and limited availability of data, developing and validating robust, spatially explicit, predictions is challenging. Recent efforts have begun to make progress in this direction by capitalizing on machine learning methodologies. An important weakness of existing approaches, however, is that they generally rely on combining human and reservoir infection data during the training process and thus conflate risk attributable to the prevalence of the pathogen in the reservoir population with the risk attributed to the realized rate of spillover into the human population. Because effective planning of interventions requires that these components of risk be disentangled, we developed a multi-layer machine learning framework that separates these processes. Our approach begins by training models to predict the geographic range of the primary reservoir and the subset of this range in which the pathogen occurs. The spillover risk predicted by the product of these reservoir specific models is then fit to data on realized patterns of historical spillover into the human population. The result is a geographically specific spillover risk forecast that can be easily decomposed and used to guide effective intervention. Applying our method to Lassa virus, a zoonotic pathogen that regularly spills over into the human population across West Africa, results in a model that explains a modest but statistically significant portion of geographic variation in historical patterns of spillover. When combined with a mechanistic mathematical model of infection dynamics, our spillover risk model predicts that 897,700 humans are infected by Lassa virus each year across West Africa, with Nigeria accounting for more than half of these human infections.",2021.0,PLoS Computational Biology,10.1371/journal.pcbi.1008811,#2620,INCLUDE,INCLUDE
Favipiravir and Ribavirin Treatment of Epidemiologically Linked Cases of Lassa Fever,Vanessa Raabe; Gerrit Kann; Bruce S. Ribner; Andrés Morales; Jay B. Varkey; Aneesh K. Mehta; G. Marshall Lyon; Sharon Vanairsdale; Kelly Faber; Stephan Becker; Markus Eickmann; Thomas Strecker; Shelley Brown; Ketan Patel; Philipp de Leuw; Gundolf Schuettfort; Christoph Stephan; Holger F. Rabenau; John D. Klena; Pierre E. Rollin; Anita K. McElroy; Ute Ströher; Stuart T. Nichol; Colleen S. Kraft; Timo Wolf; Sonia Bell; Catherine Maloney; Pam Cosper; Nancye Feistritzer; John Lewin; Bryce Gartland; Ira Horowitz; David Pugh; Chad W.M. Ritenour; Jerry P. Lewis; D. M. Hatcher; Linda Scott-Harris; Lynne Ometer; K J Hardy; Jeff Broughton; Robert Jackson; Samantha Thomas; Toni Ash; Christopher O. Barnes; Jamie Breedlove; Bob Bridgman; Lane Darragh; Tracey Daye; Dustin Hillis; Crystal H Johnson; J.E. Johnson; Danni LaFond; Courtney Lyons; Josia Mamora; Anna McCord; Samantha McDaniel; Haley Morgan; Jill S. Morgan; Alexander Sanchez; Marissa Simon; Jason Slabach; Kevin Tirado; Sally Watkins; Terrica Wilson; Ken Logan; J R Buchanan; Eileen M. Burd; John F. Cardella; Brenda L. Eaves; Crystal Evans; Charles E. Hill; Doris Igwe; Karen Jenkins; Maureen Lindsey; Jordan Magee; Stacy McCarthy; Randall K. Powers; James Ritchie; Jan Pack; Susan Rogers; Patricia Olinger; K Rengarajan; Scott W. Thomaston; Esmeralda Meyer; Emily Beck; Paula DesRoches; Cynthia R Hall; Celeste Walker; Esther Baker; Betsy Hackman; Jeff Broughton; Robert Jackson; Jerry P. Lewis; Robin Brown-Haithco; Faith Richardson; Art Krasilovsky; C. Jordan; Sue Matthews; Marilyn Hazzard Lineberger; Paula G Gomes,"Two patients with Lassa fever are described who are the first human cases treated with a combination of ribavirin and favipiravir. Both patients survived but developed transaminitis and had prolonged detectable virus RNA in blood and semen, suggesting that the possibility of sexual transmission of Lassa virus should be considered.",2017.0,Clinical Infectious Diseases,10.1093/cid/cix406,#293,EXCLUDE,EXCLUDE
Prevalence and Risk Factors of Lassa Seropositivity in Inhabitants of the Forest Region of Guinea: A Cross-Sectional Study,Solen Kernéis; Lamine Koivogui; N’Faly Magassouba; Kékoura Koulemou; Rosamund Lewis; Aristide Aplogan; Rebecca F. Grais; Philippe J. Guérin; Élisabeth Fichet-Calvet,"Our study underlines the potential importance of person-to-person transmission of Lassa fever, via close contact in the same household or nosocomial exposure.",2009.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0000548,#661,INCLUDE,INCLUDE
"Emerging infectious diseases: Focus on infection control issues for novel coronaviruses (Severe Acute Respiratory Syndrome-CoV and Middle East Respiratory Syndrome-CoV), hemorrhagic fever viruses (Lassa and Ebola), and highly pathogenic avian influenza viruses, A(H5N1) and A(H7N9)",David J. Weber; William A. Rutala; William A. Fischer; Hajime Kanamori; Emily Sickbert-Bennett,"Over the past several decades, we have witnessed the emergence of many new infectious agents, some of which are major public threats. New and emerging infectious diseases which are both transmissible from patient-to-patient and virulent with a high mortality include novel coronaviruses (SARS-CoV, MERS-CV), hemorrhagic fever viruses (Lassa, Ebola), and highly pathogenic avian influenza A viruses, A(H5N1) and A(H7N9). All healthcare facilities need to have policies and plans in place for early identification of patients with a highly communicable diseases which are highly virulent, ability to immediately isolate such patients, and provide proper management (e.g., training and availability of personal protective equipment) to prevent transmission to healthcare personnel, other patients and visitors to the healthcare facility.",2016.0,American Journal of Infection Control,10.1016/j.ajic.2015.11.018,#2209,EXCLUDE,EXCLUDE
Evaluation of Lassa antiviral compound ST-193 in a guinea pig model,Kathleen A. Cashman; Mark Smith; Nancy Twenhafel; Ryan A. Larson; Kevin F. Jones; Robert D. Allen; Dongcheng Dai; Jarasvech Chinsangaram; Tové C. Bolken; Dennis E. Hruby; Sean M. Amberg; Lisa E. Hensley; Mary C. Guttieri,"Lassa virus (LASV), a member of the Arenaviridae family, causes a viral hemorrhagic fever endemic to West Africa, where as many as 300,000 infections occur per year. Presently, there are no FDA-approved LASV-specific vaccines or antiviral agents, although the antiviral drug ribavirin has shown some efficacy. A recently identified small-molecule inhibitor of arenavirus entry, ST-193, exhibits submicromolar antiviral activity in vitro. To determine the antiviral utility of ST-193 in vivo, we tested the efficacy of this compound in the LASV guinea pig model. Four groups of strain 13 guinea pigs were administered 25 or 80 mg/kg ST-193, 25 mg/kg of ribavirin, or the vehicle by the intraperitoneal (i.p.) route before infection with a lethal dose of LASV, strain Josiah, and continuing once daily for 14 days. Control animals exhibited severe disease, becoming moribund between days 10 and 15 postinfection. ST-193-treated animals exhibited fewer signs of disease and enhanced survival when compared to the ribavirin or vehicle groups. Body temperatures in all groups were elevated by day 9, but returned to normal by day 19 postinfection in the majority of ST-193-treated animals. ST-193 treatment mediated a 2-3-log reduction in viremia relative to vehicle-treated controls. The overall survival rate for the ST-193-treated guinea pigs was 62.5% (10/16) compared with 0% in the ribavirin (0/8) and vehicle (0/7) groups. These data suggest that ST-193 may serve as an improved candidate for the treatment of Lassa fever.",2011.0,Antiviral Research,10.1016/j.antiviral.2011.02.012,#1141,EXCLUDE,EXCLUDE
"Modeling, analyzing and simulating the dynamics of Lassa fever in Nigeria",Mayowa M. Ojo; Emile Franc Doungmo Goufo,"Abstract Lassa fever is an infectious and zoonotic disease with incidence ranging between a hundred to three hundred thousand cases, with approximately five thousand deaths reported yearly in West Africa. This disease has become endemic in the Lassa belt of Sub-Saharan Africa, thus increasing the health burden in these regions including Nigeria. A deterministic mathematical model is presented to study the dynamics of Lassa fever in Nigeria. The model describes the transmission between two interacting hosts, namely the human and rodent populations. Using the cumulative number of cases reported by the Nigerian Centre for Disease Control within the first week of January 2020 through the eleventh week in 2021, we performed the model fitting and parameterization using the nonlinear least square method. The reproduction number $${\mathcal {R}}_{0}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>R</mml:mi> <mml:mn>0</mml:mn> </mml:msub> </mml:math> which measures the potential spread of Lassa fever in the population is used to investigate the local and global stability of the system. The result shows that the model system is locally and globally asymptomatically stable whenever $${\mathcal {R}}_{0}&lt;1$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mrow> <mml:msub> <mml:mi>R</mml:mi> <mml:mn>0</mml:mn> </mml:msub> <mml:mo>&lt;</mml:mo> <mml:mn>1</mml:mn> </mml:mrow> </mml:math> , otherwise it is unstable. Furthermore, the endemic equilibrium stability is investigated and the criteria for the existence of the phenomenon of bifurcation is presented. We performed the sensitivity analysis of each reproduction number parameter and solutions of the developed model are derived through an iterative numerical technique, a six-stage fifth-order Runge–Kutta method. Numerical simulations of the total infected human population $$(E_{h}+I_{h})$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mrow> <mml:mo>(</mml:mo> <mml:msub> <mml:mi>E</mml:mi> <mml:mi>h</mml:mi> </mml:msub> <mml:mo>+</mml:mo> <mml:msub> <mml:mi>I</mml:mi> <mml:mi>h</mml:mi> </mml:msub> <mml:mo>)</mml:mo> </mml:mrow> </mml:math> under different numerical values (controlled parameters) are presented. The result from this study shows that combined controlled parameters made the total infected human population decline faster and thus reduces Lassa fever’s burden on the population.",2022.0,Journal of the Egyptian Mathematical Society,10.1186/s42787-022-00138-x,#5628,INCLUDE,INCLUDE
Early Blood Profiles of Virus Infection in a Monkey Model for Lassa Fever,Mahmoud Djavani; Oswald Crasta; Juan Carlos Zapata; Zhangjun Fei; Otto Folkerts; Bruno Sobral; Mark B. Swindells; Joseph Bryant; Harry Davis; C. David Pauza; Igor S. Lukashevich; Rasha Hammamieh; Marti Jett; María S. Salvato,"ABSTRACT Acute arenavirus disease in primates, like Lassa hemorrhagic fever in humans, begins with flu-like symptoms and leads to death approximately 2 weeks after infection. Our goal was to identify molecular changes in blood that are related to disease progression. Rhesus macaques ( Macaca mulatta ) infected intravenously with a lethal dose of lymphocytic choriomeningitis virus (LCMV) provide a model for Lassa virus infection of humans. Blood samples taken before and during the course of infection were used to monitor gene expression changes that paralleled disease onset. Changes in blood showed major disruptions in eicosanoid, immune response, and hormone response pathways. Approximately 12% of host genes alter their expression after LCMV infection, and a subset of these genes can discriminate between virulent and nonvirulent LCMV infection. Major transcription changes have been given preliminary confirmation by quantitative PCR and protein studies and will be valuable candidates for future validation as biomarkers for arenavirus disease.",2007.0,Journal of Virology,10.1128/jvi.00536-07,#1052,EXCLUDE,EXCLUDE
Evaluation of rodent control to fight Lassa fever based on field data and mathematical modelling,Joachim Mariën; Benny Borremans; Fodé Kourouma; Jatta Baforday; Toni Rieger; Stephan Günther; N’Faly Magassouba; Herwig Leirs; Élisabeth Fichet-Calvet,"The Natal multimammate mouse (Mastomys natalensis) is the reservoir host of Lassa virus, an arenavirus that causes Lassa haemorrhagic fever in humans in West Africa. Because no vaccine exists and therapeutic options are limited, preventing infection through rodent control and human behavioural measures is currently considered to be the only option. In order to assess the efficacy of rodent control, we performed a 4-year field experiment in rural Upper Guinea and developed a mathematical model to simulate different control strategies (annual density control, continuous density control, and rodent vaccination). For the field study, rodenticide baits were placed each year in three rural villages, while three other villages were used as controls. Rodents were trapped before and after every treatment and their antibody status and age were determined. Data from the field study were used to parameterize the mathematical model. In the field study, we found a significant negative effect of rodent control on seroprevalence, but this effect was small especially given the effort. Furthermore, the rodent populations recovered rapidly after rodenticide application, leading us to conclude that an annual control strategy is unlikely to significantly reduce Lassa virus spillover to humans. In agreement with this finding, the mathematical model suggests that the use of continuous control or rodent vaccination is the only strategy that could lead to Lassa virus elimination. These field and model results can serve as a guide for determining how long and frequent rodent control should be done in order to eliminate Lassa virus in rural villages.",2019.0,Emerging Microbes & Infections,10.1080/22221751.2019.1605846,#2829,INCLUDE,EXCLUDE
The search for animal models for Lassa fever vaccine development,Igor S. Lukashevich,"Lassa virus (LASV) is the most prevalent arenavirus in West Africa and is responsible for several hundred thousand infections and thousands of deaths annually. The sizeable disease burden, numerous imported cases of Lassa fever (LF) and the possibility that LASV can be used as an agent of biological warfare make a strong case for vaccine development. Currently there is no licensed LF vaccine and research and devlopment is hampered by the high cost of nonhuman primate animal models and by biocontainment requirements (BSL-4). In addition, a successful LF vaccine has to induce a strong cell-mediated cross-protective immunity against different LASV lineages. All of these challenges will be addressed in this review in the context of available and novel animal models recently described for evaluation of LF vaccine candidates.",2012.0,Expert Review of Vaccines,10.1586/erv.12.139,#547,EXCLUDE,EXCLUDE
"Systematic review and meta-analysis of the epidemiology of Lassa virus in humans, rodents and other mammals in sub-Saharan Africa",Sébastien Kenmoe; Serges Tchatchouang; Jean Thierry Ebogo‐Belobo; Aude Christelle Ka’e; Gadji Mahamat; Raïssa Estelle Guiamdjo Simo; Arnol Bowo‐Ngandji; Cynthia Paola Demeni Emoh; Emmanuel Che; Dimitri Tchami Ngongang; Marie Amougou‐Atsama; Nathalie Diane Nzukui; Chris André Mbongue Mikangue; Donatien Serge Mbaga; Sorel Kenfack; Sandrine Rachel Kingue Bebey; Nathalie Amvongo‐Adjia; Atembeh Noura Efietngab; Hervé Raoul Tazokong; Abdou Fatawou Modiyinji; Cyprien Kengne-Ndé; Serge Alain Sadeuh‐Mba; Richard Njouom,"Accurate data on the Lassa virus (LASV) human case fatality rate (CFR) and the prevalence of LASV in humans, rodents and other mammals are needed for better planning of actions that will ultimately reduce the burden of LASV infection in sub-Saharan Africa. In this systematic review with meta-analysis, we searched PubMed, Scopus, Africa Journal Online, and African Index Medicus from 1969 to 2020 to obtain studies that reported enough data to calculate LASV infection CFR or prevalence. Study selection, data extraction, and risk of bias assessment were conducted independently. We extracted all measures of current, recent, and past infections with LASV. Prevalence and CFR estimates were pooled using a random-effect meta-analysis. Factors associated with CFR, prevalence, and sources of between-study heterogeneity were determined using subgroup and metaregression analyses. This review was registered with PROSPERO, CRD42020166465. We initially identified 1,399 records and finally retained 109 reports that contributed to 291 prevalence records from 25 countries. The overall CFR was 29.7% (22.3-37.5) in humans. Pooled prevalence of LASV infection was 8.7% (95% confidence interval: 6.8-10.8) in humans, 3.2% (1.9-4.6) in rodents, and 0.7% (0.0-2.3) in other mammals. Subgroup and metaregression analyses revealed a substantial statistical heterogeneity explained by higher prevalence in tissue organs, in case-control, in hospital outbreak, and surveys, in retrospective studies, in urban and hospital setting, in hospitalized patients, and in West African countries. This study suggests that LASV infections is an important cause of death in humans and that LASV are common in humans, rodents and other mammals in sub-Saharan Africa. These estimates highlight disparities between sub-regions, and population risk profiles. Western Africa, and specific key populations were identified as having higher LASV CFR and prevalence, hence, deserving more attention for cost-effective preventive interventions.",2020.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0008589,#2623,INCLUDE,EXCLUDE
